pr_id,review_count,request_changes_count,comment_count,post_review_review_count
2791677300,2,0.0,11.0,1
2791684530,0,0.0,2.0,0
2791971139,4,0.0,29.0,3
2792145491,2,1.0,21.0,1
2792149320,0,0.0,7.0,0
2792386162,1,0.0,3.0,0
2792408196,0,0.0,4.0,0
2792408591,2,0.0,8.0,1
2792640916,0,0.0,5.0,0
2792917419,0,0.0,4.0,0
2792918251,0,0.0,8.0,0
2793293460,0,0.0,3.0,0
2793404178,0,0.0,3.0,0
2793512716,1,0.0,3.0,0
2793548898,0,0.0,5.0,0
2793592645,0,0.0,2.0,0
2793729508,1,1.0,2.0,0
2793852587,1,1.0,6.0,0
2794276099,0,0.0,2.0,0
2794323375,3,1.0,10.0,2
2794424292,0,0.0,2.0,0
2794549110,1,0.0,6.0,0
2794616611,0,0.0,2.0,0
2794784651,0,0.0,4.0,0
2794907896,1,0.0,2.0,0
2795084819,4,0.0,6.0,3
2795172513,1,0.0,2.0,0
2795821755,1,0.0,3.0,0
2795913938,0,0.0,1.0,0
2795922231,0,0.0,2.0,0
2795930781,1,0.0,4.0,0
2795955814,0,0.0,2.0,0
2795964105,2,2.0,6.0,1
2795968909,1,0.0,9.0,0
2796002590,0,0.0,3.0,0
2796009360,0,0.0,2.0,0
2796014467,0,0.0,5.0,0
2796059303,0,0.0,2.0,0
2796401274,0,0.0,3.0,0
2796796712,0,0.0,2.0,0
2796839418,0,0.0,2.0,0
2796914337,0,0.0,3.0,0
2797157546,3,1.0,7.0,2
2797184843,12,0.0,19.0,11
2797405312,1,0.0,5.0,0
2797475430,1,0.0,2.0,0
2797482061,1,0.0,2.0,0
2797482849,0,0.0,2.0,0
2797733700,0,0.0,1.0,0
2797849514,0,0.0,3.0,0
2797854568,0,0.0,4.0,0
2798295763,2,0.0,9.0,1
2798302866,0,0.0,12.0,0
2798447344,0,0.0,1.0,0
2798574828,0,0.0,7.0,0
2798727783,0,0.0,2.0,0
2798738981,0,0.0,1.0,0
2798748566,1,0.0,2.0,0
2798930478,0,0.0,1.0,0
2798936903,1,0.0,13.0,0
2799046822,1,0.0,2.0,0
2799104941,0,0.0,3.0,0
2799121251,1,0.0,1.0,0
2799205474,1,0.0,5.0,0
2799230876,1,0.0,1.0,0
2799302285,1,0.0,2.0,0
2799333962,0,0.0,1.0,0
2799374100,0,0.0,1.0,0
2800258838,0,0.0,3.0,0
2800344224,0,0.0,4.0,0
2800769710,2,0.0,9.0,1
2801019781,1,0.0,2.0,0
2801155743,0,0.0,1.0,0
2801228245,0,0.0,3.0,0
2801240170,0,0.0,1.0,0
2802180853,0,0.0,3.0,0
2802381070,0,0.0,2.0,0
2802417432,2,2.0,8.0,1
2802436731,0,0.0,3.0,0
2802453203,0,0.0,4.0,0
2802488198,0,0.0,2.0,0
2802753751,0,0.0,2.0,0
2802889835,0,0.0,4.0,0
2802903114,0,0.0,2.0,0
2804278993,0,0.0,3.0,0
2804518743,1,0.0,3.0,0
2804519530,2,0.0,17.0,1
2804526147,11,0.0,18.0,10
2804813358,0,0.0,1.0,0
2805386340,0,0.0,2.0,0
2805430490,0,0.0,2.0,0
2805690384,2,0.0,2.0,1
2805732175,0,0.0,2.0,0
2805924492,0,0.0,2.0,0
2807264449,0,0.0,3.0,0
2807926714,1,0.0,1.0,0
2808529193,0,0.0,4.0,0
2810378681,3,2.0,5.0,2
2810425952,1,0.0,6.0,0
2810507098,0,0.0,3.0,0
2810803752,0,0.0,2.0,0
2810812302,0,0.0,4.0,0
2810841597,0,0.0,4.0,0
2811838511,5,0.0,8.0,4
2811839599,2,0.0,5.0,1
2811840599,8,0.0,10.0,7
2811841666,6,0.0,9.0,5
2811843657,9,0.0,10.0,8
2811845130,1,0.0,3.0,0
2811846298,16,0.0,17.0,15
2811847514,9,0.0,10.0,8
2811904649,0,0.0,3.0,0
2811914033,1,0.0,2.0,0
2812036934,0,0.0,1.0,0
2812241515,0,0.0,2.0,0
2812241832,0,0.0,8.0,0
2812399095,1,0.0,6.0,0
2812509029,0,0.0,5.0,0
2812962777,1,0.0,3.0,0
2813742901,0,0.0,7.0,0
2813961093,0,0.0,3.0,0
2813970310,2,0.0,3.0,1
2814132697,0,0.0,3.0,0
2814173503,5,1.0,8.0,4
2814227883,1,0.0,5.0,0
2814276083,1,0.0,3.0,0
2814329360,0,0.0,4.0,0
2814377516,0,0.0,4.0,0
2814448059,0,0.0,4.0,0
2814467525,0,0.0,3.0,0
2814482277,4,0.0,2.0,3
2814483056,6,2.0,8.0,5
2814487611,0,0.0,3.0,0
2814535457,0,0.0,3.0,0
2814538988,0,0.0,3.0,0
2814591669,0,0.0,3.0,0
2814619482,0,0.0,3.0,0
2814622724,0,0.0,3.0,0
2815602191,1,0.0,4.0,0
2816058073,0,0.0,3.0,0
2816120661,0,0.0,3.0,0
2816137367,0,0.0,3.0,0
2816202513,1,0.0,3.0,0
2816206620,0,0.0,5.0,0
2816207599,0,0.0,5.0,0
2816227864,0,0.0,5.0,0
2816232160,0,0.0,3.0,0
2816233687,1,0.0,3.0,0
2816265555,0,0.0,1.0,0
2816307186,0,0.0,3.0,0
2816382668,0,0.0,2.0,0
2816492319,1,0.0,1.0,0
2816497487,0,0.0,1.0,0
2816527297,1,1.0,2.0,0
2816532850,0,0.0,3.0,0
2816659151,1,0.0,3.0,0
2816661204,1,0.0,2.0,0
2816685388,0,0.0,3.0,0
2816690510,1,0.0,2.0,0
2816834780,0,0.0,2.0,0
2816855074,1,0.0,2.0,0
2816979353,0,0.0,1.0,0
2816993947,0,0.0,2.0,0
2817069743,1,0.0,2.0,0
2817109062,0,0.0,2.0,0
2817177399,0,0.0,6.0,0
2817252828,0,0.0,1.0,0
2817660035,0,0.0,1.0,0
2818301957,3,2.0,5.0,2
2818457348,0,0.0,3.0,0
2818558986,1,0.0,3.0,0
2818857108,1,0.0,2.0,0
2818940848,0,0.0,3.0,0
2818968550,1,0.0,1.0,0
2819000175,1,1.0,11.0,0
2819134642,10,1.0,28.0,9
2819377735,1,0.0,4.0,0
2819638763,0,0.0,1.0,0
2819650730,0,0.0,3.0,0
2819751239,0,0.0,1.0,0
2819798794,0,0.0,4.0,0
2819873890,1,0.0,2.0,0
2819900203,6,0.0,13.0,5
2819976295,1,0.0,2.0,0
2820738300,0,0.0,3.0,0
2820896574,3,0.0,4.0,2
2821503897,4,1.0,8.0,3
2821574994,0,0.0,2.0,0
2821577684,1,0.0,2.0,0
2821578095,17,0.0,21.0,16
2821630075,0,0.0,2.0,0
2821659019,5,0.0,7.0,4
2821716083,3,0.0,11.0,2
2821981350,0,0.0,1.0,0
2822168236,0,0.0,3.0,0
2822270672,0,0.0,2.0,0
2822394335,0,0.0,5.0,0
2822490692,0,0.0,2.0,0
2822545926,0,0.0,1.0,0
2822592518,0,0.0,1.0,0
2822603073,0,0.0,2.0,0
2822630272,0,0.0,1.0,0
2822921623,0,0.0,1.0,0
2823839042,2,1.0,4.0,1
2823956710,0,0.0,3.0,0
2824074793,0,0.0,3.0,0
2824163339,0,0.0,6.0,0
2824270583,0,0.0,3.0,0
2824282372,3,0.0,4.0,2
2824328502,2,0.0,3.0,1
2824360133,2,0.0,5.0,1
2824427819,1,0.0,5.0,0
2824804981,0,0.0,5.0,0
2824824488,0,0.0,4.0,0
2825676107,1,0.0,1.0,0
2825700983,1,0.0,8.0,0
2825733330,0,0.0,2.0,0
2825734565,0,0.0,2.0,0
2825772024,0,0.0,2.0,0
2825786243,0,0.0,1.0,0
2825796663,0,0.0,1.0,0
2825827173,0,0.0,1.0,0
2825851994,0,0.0,1.0,0
2825860471,0,0.0,1.0,0
2825888211,0,0.0,12.0,0
2825988641,1,0.0,2.0,0
2825989939,0,0.0,6.0,0
2825991690,0,0.0,3.0,0
2825992462,1,0.0,2.0,0
2826018855,1,0.0,4.0,0
2826117544,2,0.0,4.0,1
2826132392,1,0.0,2.0,0
2826303389,0,0.0,2.0,0
2826890729,0,0.0,1.0,0
2826904500,4,0.0,8.0,3
2827070017,1,0.0,2.0,0
2827635328,1,0.0,3.0,0
2827713076,0,0.0,3.0,0
2827862538,0,0.0,2.0,0
2827936716,0,0.0,2.0,0
2828091505,0,0.0,1.0,0
2828443532,1,0.0,3.0,0
2828572765,0,0.0,2.0,0
2828751695,0,0.0,2.0,0
2828939198,1,0.0,2.0,0
2830596110,0,0.0,2.0,0
2830759283,1,0.0,9.0,0
2830967349,1,0.0,10.0,0
2831136101,0,0.0,2.0,0
2831233724,1,1.0,2.0,0
2831492164,1,0.0,3.0,0
2831592464,0,0.0,1.0,0
2831622547,1,0.0,6.0,0
2831659682,5,0.0,11.0,4
2831690878,0,0.0,2.0,0
2831826191,6,0.0,7.0,5
2832330579,0,0.0,1.0,0
2832531846,0,0.0,1.0,0
2832575560,0,0.0,3.0,0
2832678777,0,0.0,3.0,0
2832745424,0,0.0,1.0,0
2832949261,0,0.0,2.0,0
2833310522,0,0.0,4.0,0
2833560557,1,0.0,2.0,0
2833576516,0,0.0,1.0,0
2833599213,0,0.0,1.0,0
2833672153,1,0.0,3.0,0
2833722888,1,0.0,2.0,0
